"R Package","Dataset","Description","Doc","CSV"
"car","Duncan","Duncan's Occupational Prestige Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Duncan.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Duncan.csv"
"car","Ericksen","The 1980 U.S. Census Undercount","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Ericksen.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Ericksen.csv"
"car","Florida","Florida County Voting","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Florida.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Florida.csv"
"car","Freedman","Crowding and Crime in U. S. Metropolitan Areas","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Freedman.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Freedman.csv"
"car","Friendly","Format Effects on Recall","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Friendly.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Friendly.csv"
"car","Ginzberg","Data on Depression","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Ginzberg.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Ginzberg.csv"
"car","Greene","Refugee Appeals","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Greene.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Greene.csv"
"car","Guyer","Anonymity and Cooperation","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Guyer.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Guyer.csv"
"car","Hartnagel","Canadian Crime-Rates Time Series","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Hartnagel.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Hartnagel.csv"
"car","Highway1","Highway Accidents","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Highway1.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Highway1.csv"
"car","Leinhardt","Data on Infant-Mortality","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Leinhardt.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Leinhardt.csv"
"car","Mandel","Contrived Collinear Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Mandel.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Mandel.csv"
"car","Migration","Canadian Interprovincial Migration Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Migration.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Migration.csv"
"car","Moore","Status, Authoritarianism, and Conformity","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Moore.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Moore.csv"
"car","Mroz","U.S. Women's Labor-Force Participation","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Mroz.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Mroz.csv"
"car","OBrienKaiser","O'Brien and Kaiser's Repeated-Measures Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/OBrienKaiser.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/OBrienKaiser.csv"
"car","Ornstein","Interlocking Directorates Among Major Canadian Firms","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Ornstein.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Ornstein.csv"
"car","Pottery","Chemical Composition of Pottery","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Pottery.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Pottery.csv"
"car","Prestige","Prestige of Canadian Occupations","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Prestige.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Prestige.csv"
"car","Quartet","Four Regression Datasets","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Quartet.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Quartet.csv"
"car","Robey","Fertility and Contraception","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Robey.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Robey.csv"
"car","SLID","Survey of Labour and Income Dynamics","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/SLID.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/SLID.csv"
"car","Sahlins","Agricultural Production in Mazulu Village","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Sahlins.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Sahlins.csv"
"car","Salaries","Salaries for Professors","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Salaries.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Salaries.csv"
"car","Soils","Soil Compositions of Physical and Chemical Characteristics","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Soils.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Soils.csv"
